created_at,text,retweets,likes
Sat Mar 06 19:33:24 +0000 2021,"Louder for the people in the back!!!! Thank you for using your platform to speak out

https://t.co/CmLhzvKBB6",1,137
Sat Mar 06 19:33:24 +0000 2021,"Thank you Daniel! When you're done advocating for Asian-Americans, maybe you can tell us what happened at the end of Lost...

https://t.co/DHBdsbM2ye",13,443
Sat Mar 06 05:01:07 +0000 2021,"[NYC H+H · Brooklyn] Woodhull Hospital: 37 appts

Mar 13 – 7:00AM, 7:15AM, 7:30AM + 34

https://t.co/iVRnr1hjSf",13,29
Fri Mar 05 21:17:23 +0000 2021,"[NYC H+H · Brooklyn] Kings County Hospital: 31 appts

Mar 12 – 7:15AM, 7:30AM, 7:45AM + 28

https://t.co/iVRnr1hjSf",20,31
Fri Mar 05 20:09:34 +0000 2021,"Here is the full special called Stop The Hate, which also featured much more interesting people such as @oliviamunn, @JLin7 and @danieldaekim.

Don't be afraid to speak out and take action, regardless of how big or small your platform may be

https://t.co/ZYVveavGwS",30,235
Fri Mar 05 20:09:34 +0000 2021,This violence is not showing any signs of slowing down. Earlier this week a 56-yo man was attacked while trying to enter a train station in Chinatown. Nothing was stolen. Just malice https://t.co/0aSHRJiNrZ,16,152
Fri Mar 05 20:09:34 +0000 2021,"More news: as part of a special on rising Asian Hate, I did an interview with ABC News about TurboVax and my experiences as an Asian-American. This is the first TV that I've ever done, so be nice https://t.co/ucs9fRgoMB",183,1659
Fri Mar 05 15:34:07 +0000 2021,"[NYC H+H · Queens] Citi Field (Queens residents/eligible groups only): 94 appts

Mar 6 – 12:00AM, 12:15AM, 12:30AM + 91

https://t.co/iVRnr1hjSf",13,25
Fri Mar 05 15:33:24 +0000 2021,"[NYC H+H · Manhattan] Harlem Hospital: 38 appts

Mar 9 – 10:30AM, 10:40AM, 11:00AM + 18
Mar 8 – 10:50AM, 11:00AM, 11:20AM + 14

https://t.co/iVRnr1hjSf",15,17
Fri Mar 05 06:06:31 +0000 2021,"[NYC H+H · Queens] Citi Field (Queens residents/eligible groups only): 39 appts

Mar 5 – 5:15AM, 8:00AM, 8:15AM + 36

https://t.co/iVRnr1hjSf",9,37
Fri Mar 05 00:32:58 +0000 2021,"[NYC Vaccine Hub · Queens] HSS at Martin Van Buren HS: 72 appts

Mar 5 – 8:00AM, 8:10AM, 8:20AM + 33
Mar 6 – 8:00AM, 8:10AM, 8:20AM + 33

https://t.co/jQDJPwNCK4",20,42
Thu Mar 04 23:23:14 +0000 2021,"[NYC Vaccine Hub · Bronx] South Bronx Educational Campus: 46 appts

Mar 5 – 12:50PM, 1:00PM, 1:10PM + 14
Mar 6 – 1:50PM, 2:00PM, 2:10PM + 8
Mar 7 – 12:40PM, 12:50PM, 1:00PM + 15

https://t.co/jQDJPwNCK4",8,22
