,year,on spotify?
723,2018,No
724,2017,No
725,2017,No
726,2019,No
727,2017,No
728,2020,No
729,2010,No
730,2013,No
731,2017,No
732,2019,No
733,2012,No
734,2020,No
735,2016,No
736,2013,No
737,2014,Yes
738,2010,No
739,2020,No
740,2012,No
741,2020,Yes
742,2012,Yes
743,2020,No
744,2013,Yes
745,2017,No
746,2015,No
747,2012,No
748,2018,No
749,2015,No
750,2019,No
751,2020,Yes
752,2018,Yes
753,2014,No
754,2015,No
755,2019,Yes
756,2020,Yes
757,2012,No
758,2018,No
759,2013,No
760,2013,Yes
761,2016,No
762,2019,No
763,2020,Yes
764,2015,No
765,2012,Yes
766,2019,No
767,2020,Yes
768,2019,Yes
769,2013,No
770,2012,No
771,2020,Yes
772,2011,No
773,2015,Yes
774,2015,No
775,2016,No
776,2014,No
777,2012,No
778,2016,No
779,2019,Yes
780,2015,Yes
781,2020,Yes
782,2017,Yes
783,2018,Yes
784,2016,No
785,2019,No
786,2013,No
787,2010,No
788,2015,No
789,2015,Yes
790,2013,No
791,2012,Yes
792,2020,Yes
793,2018,Yes
794,2017,No
795,2013,Yes
796,2017,No
797,2019,No
798,2011,No
799,2015,No
800,2016,No
801,2020,No
802,2012,No
803,2014,Yes
804,2010,No
805,2017,No
806,2012,No
807,2013,Yes
808,2018,Yes
809,2019,Yes
810,2015,No
811,2018,No
812,2011,No
813,2013,Yes
814,2013,Yes
815,2013,No
816,2016,Yes
817,2012,Yes
818,2013,No
819,2021,No
820,2016,No
821,2021,Yes
822,2013,Yes
823,2019,Yes
824,2013,Yes
825,2019,No
826,2014,No
827,2009,No
828,2019,No
829,2015,Yes
830,2016,No
831,2010,Yes
832,2015,No
833,2014,Yes
834,2015,No
835,2011,No
836,2013,No
837,2016,No
838,2018,No
839,2012,Yes
840,2014,No
841,2015,No
842,2020,No
843,2019,No
844,2018,No
845,2012,Yes
846,2019,Yes
847,2020,No
848,2019,Yes
849,2013,No
850,2013,No
851,2015,No
852,2015,No
853,2017,No
854,2013,No
855,2013,No
856,2012,No
857,2015,No
858,2016,No
859,2019,No
860,2011,No
861,2014,No
862,2018,Yes
863,2015,Yes
864,2013,No
865,2011,Yes
866,2013,No
867,2016,No
868,2016,No
869,2012,Yes
870,2020,No
871,2011,Yes
872,2018,No
873,2020,No
874,2020,No
875,2013,No
876,2018,No
877,2020,No
878,2018,No
879,2017,No
880,2014,No
881,2016,No
882,2014,Yes
883,2020,Yes
884,2020,No
885,2018,Yes
886,2011,No
887,2014,No
888,2017,Yes
889,2015,No
890,2020,No
891,2018,Yes
892,2013,No
893,2021,Yes
894,2020,No
895,2020,No
896,2019,No
897,2018,No
898,2017,No
899,2013,Yes
900,2016,No
901,2020,Yes
902,2016,No
903,2010,Yes
904,2010,No
905,2011,No
906,2013,Yes
907,2011,No
908,2020,No
909,2017,Yes
910,2012,No
911,2019,No
912,2014,No
913,2020,Yes
914,2018,No
915,2017,No
916,2020,Yes
917,2019,Yes
918,2014,No
919,2013,No
920,2017,Yes
921,2013,Yes
922,2016,No
923,2010,Yes
924,2014,No
925,2013,No
926,2012,No
927,2020,No
928,2013,No
929,2018,Yes
930,2020,No
931,2015,Yes
932,2020,No
933,2021,No
934,2020,No
935,2019,No
936,2012,No
937,2014,No
938,2020,No
939,2020,Yes
940,2014,No
941,2020,No
942,2017,No
943,2020,No
944,2020,Yes
945,2020,No
946,2020,Yes
947,2015,Yes
948,2013,No
949,2020,No
950,2017,No
951,2014,No
952,2017,No
953,2016,No
954,2016,Yes
955,2012,No
956,2013,Yes
957,2012,Yes
958,2014,No
959,2021,No
960,2018,No
961,2017,No
962,2017,Yes
963,2010,No
964,2011,No
965,2014,No
966,2017,Yes
967,2015,No
968,2014,No
969,2016,No
970,2017,Yes
971,2013,No
972,2016,No
973,2018,No
974,2016,Yes
975,2019,No
